mileage,make,model,fuel,gear,offerType,price,hp,year,make_model
96000,Skoda,Yeti,0,0,0,7999,110.0,2011,SkodaYeti
88000,Volkswagen,Golf,1,0,0,7999,105.0,2011,VolkswagenGolf
124000,Volkswagen,Beetle,1,0,0,8900,160.0,2012,VolkswagenBeetle
133500,Audi,A3,0,0,0,8990,140.0,2012,AudiA3
107000,BMW,320,1,0,0,9000,170.0,2012,BMW320
89500,MINI,Cooper,1,0,0,9000,122.0,2012,MINICooper
140000,Mercedes-Benz,B 180,1,0,0,9000,122.0,2012,Mercedes-BenzB 180
128000,Skoda,Octavia,0,1,0,9090,140.0,2012,SkodaOctavia
79800,Volkswagen,Golf,1,0,0,9200,122.0,2012,VolkswagenGolf
131630,Hyundai,iX35,0,0,0,9200,116.0,2012,HyundaiiX35
165300,Ford,Mondeo,0,0,0,9200,163.0,2012,FordMondeo
38400,Toyota,Yaris,1,1,0,9300,75.0,2012,ToyotaYaris
115500,Nissan,Qashqai,0,0,0,9400,131.0,2012,NissanQashqai
72072,Ford,C-Max,0,1,0,9490,140.0,2012,FordC-Max
180000,Volkswagen,Sharan,0,0,0,9500,140.0,2012,VolkswagenSharan
199900,BMW,120,0,1,0,9900,184.0,2013,BMW120
117000,Mercedes-Benz,B 180,1,0,0,9950,122.0,2013,Mercedes-BenzB 180
72950,Volkswagen,Golf Plus,1,1,0,9980,105.0,2013,VolkswagenGolf Plus
119000,Mercedes-Benz,C 200,0,0,0,9980,136.0,2013,Mercedes-BenzC 200
124702,BMW,X1,0,0,0,9987,116.0,2013,BMWX1
69000,BMW,116,1,0,0,9989,136.0,2013,BMW116
155000,Volkswagen,Passat Variant,0,1,0,9990,177.0,2013,VolkswagenPassat Variant
91000,Toyota,Yaris,2,1,0,9990,101.0,2013,ToyotaYaris
113960,Volkswagen,Touran,1,0,0,9995,140.0,2013,VolkswagenTouran
149000,Volkswagen,Touran,0,1,0,9999,105.0,2013,VolkswagenTouran
195450,Audi,A4,0,1,0,9999,204.0,2013,AudiA4
155000,SEAT,Leon,1,0,0,10000,140.0,2013,SEATLeon
133000,Skoda,Octavia,0,1,0,10000,105.0,2013,SkodaOctavia
200077,Ford,S-Max,0,1,0,9990,200.0,2014,FordS-Max
175700,Ford,S-Max,0,1,0,9990,163.0,2014,FordS-Max
161542,Mercedes-Benz,B 200,3,0,0,9990,156.0,2014,Mercedes-BenzB 200
75500,Opel,Mokka,1,0,0,9992,116.0,2014,OpelMokka
149768,Volkswagen,Golf,0,0,0,9999,150.0,2014,VolkswagenGolf
34000,Ford,Fiesta,1,0,0,9999,101.0,2014,FordFiesta
121000,Volkswagen,Passat Variant,0,0,0,9999,140.0,2014,VolkswagenPassat Variant
163000,Volkswagen,Golf,0,0,0,10000,150.0,2014,VolkswagenGolf
121000,Ford,Kuga,0,0,0,10290,120.0,2014,FordKuga
203000,Mazda,CX-5,0,1,0,10300,175.0,2014,MazdaCX-5
121199,Ford,Kuga,0,0,0,10390,120.0,2014,FordKuga
150248,Volkswagen,Passat Variant,0,1,0,10400,177.0,2014,VolkswagenPassat Variant
76300,MINI,Cooper,1,0,0,10400,136.0,2014,MINICooper
117974,Volkswagen,Golf Sportsvan,0,0,0,10470,110.0,2014,VolkswagenGolf Sportsvan
86300,Ford,EcoSport,0,0,1,10480,90.0,2014,FordEcoSport
156367,Volkswagen,Golf,1,0,0,10490,122.0,2014,VolkswagenGolf
67988,Toyota,Yaris,2,1,0,10490,101.0,2014,ToyotaYaris
179666,Ford,Transit,0,0,0,10500,155.0,2014,FordTransit
178000,BMW,116,0,0,0,10500,116.0,2014,BMW116
103800,Volkswagen,Golf,1,0,0,11250,125.0,2015,VolkswagenGolf
90810,Hyundai,i30,1,0,0,11250,186.0,2015,Hyundaii30
123000,BMW,218,0,0,0,11290,150.0,2015,BMW218
94765,Opel,Mokka,0,0,0,11300,136.0,2015,OpelMokka
61300,Hyundai,i40,0,0,0,11300,116.0,2015,Hyundaii40
167925,Mercedes-Benz,C 180,0,0,0,11305,116.0,2015,Mercedes-BenzC 180
41800,Opel,Astra,1,0,0,11390,140.0,2015,OpelAstra
37310,Volkswagen,Golf Sportsvan,1,0,0,11400,86.0,2015,VolkswagenGolf Sportsvan
76000,Hyundai,i30,0,1,0,11450,136.0,2015,Hyundaii30
191999,BMW,318,0,0,0,11500,143.0,2015,BMW318
168000,Audi,A4,0,2,0,11500,177.0,2015,AudiA4
98400,Opel,Insignia,0,1,0,11580,170.0,2015,OpelInsignia
162740,Volkswagen,Sharan,0,0,0,11600,150.0,2015,VolkswagenSharan
96000,Volvo,V60,0,0,0,11666,136.0,2015,VolvoV60
90854,Nissan,Qashqai,1,0,0,11700,163.0,2015,NissanQashqai
33700,Opel,Mokka,1,0,0,11750,116.0,2015,OpelMokka
85900,SEAT,Leon,1,0,0,11799,125.0,2015,SEATLeon
135000,Kia,Ceed / cee'd,1,0,0,11800,204.0,2015,KiaCeed / cee'd
97100,Opel,Astra,0,0,0,9980,110.0,2016,OpelAstra
64000,Fiat,Tipo,1,0,0,9990,120.0,2016,FiatTipo
29000,Fiat,500,1,0,0,9995,86.0,2016,Fiat500
95000,Renault,Megane,1,0,0,9999,132.0,2016,RenaultMegane
186000,Opel,Insignia,0,0,0,9999,170.0,2016,OpelInsignia
43250,Opel,Astra,1,1,0,9999,105.0,2016,OpelAstra
55600,Kia,Rio,1,0,0,10000,109.0,2016,KiaRio
161400,Volkswagen,Golf Variant,0,0,0,10000,101.0,2016,VolkswagenGolf Variant
65221,Renault,Kadjar,1,0,0,10000,131.0,2016,RenaultKadjar
17500,Mazda,2,1,0,0,10000,75.0,2016,Mazda2
99000,Peugeot,308,0,1,0,10290,120.0,2016,Peugeot308
93980,Volkswagen,Golf Sportsvan,1,0,0,10300,125.0,2016,VolkswagenGolf Sportsvan
20597,Ford,Fiesta,1,0,0,10400,101.0,2016,FordFiesta
154920,Opel,Mokka,0,1,0,10400,136.0,2016,OpelMokka
37766,Mitsubishi,ASX,1,0,0,10400,117.0,2016,MitsubishiASX
69700,Opel,Astra,0,0,0,10490,110.0,2016,OpelAstra
37000,Hyundai,i30,1,0,0,10490,101.0,2016,Hyundaii30
54013,Volkswagen,up!,1,1,0,7980,60.0,2017,Volkswagenup!
62000,Opel,Corsa,1,0,0,7990,69.0,2017,OpelCorsa
167000,Ford,Transit,0,0,0,7990,75.0,2017,FordTransit
271771,Opel,Astra,0,1,0,7999,136.0,2017,OpelAstra
43600,Skoda,Fabia,1,0,0,8100,60.0,2017,SkodaFabia
21500,Toyota,Yaris,1,0,0,8199,69.0,2017,ToyotaYaris
83800,Opel,Astra,0,0,0,8280,110.0,2017,OpelAstra
81000,Skoda,Fabia,0,0,0,8290,90.0,2017,SkodaFabia
116000,Volkswagen,Polo,1,0,0,8300,60.0,2017,VolkswagenPolo
42446,Opel,Corsa,1,0,0,8350,69.0,2017,OpelCorsa
141500,Opel,Astra,0,1,0,8380,136.0,2017,OpelAstra
21044,Ford,Fiesta,1,0,0,8390,65.0,2017,FordFiesta
37269,Hyundai,i20,1,0,0,8390,75.0,2017,Hyundaii20
32000,Toyota,Aygo,1,0,0,8400,69.0,2017,ToyotaAygo
30513,Ford,Fiesta,1,0,0,8444,60.0,2017,FordFiesta
40700,SEAT,Ibiza,1,0,0,8450,75.0,2017,SEATIbiza
65000,Skoda,Fabia,1,0,0,8460,75.0,2017,SkodaFabia
147400,SEAT,Ibiza,0,0,0,8480,105.0,2017,SEATIbiza
42000,Opel,Corsa,1,0,0,8490,101.0,2017,OpelCorsa
36000,Opel,Corsa,1,0,0,8490,101.0,2017,OpelCorsa
26150,Ford,Focus,1,0,0,19790,125.0,2018,FordFocus
23000,BMW,X1,1,1,0,24490,140.0,2018,BMWX1
97000,BMW,530,0,1,0,28790,265.0,2018,BMW530
31800,Volkswagen,Passat,0,1,0,34934,190.0,2018,VolkswagenPassat
35000,BMW,420,0,1,0,35800,190.0,2018,BMW420
57500,Opel,Corsa,1,0,0,6480,69.0,2018,OpelCorsa
134600,Volkswagen,Golf,0,0,0,6480,116.0,2018,VolkswagenGolf
84173,Skoda,Citigo,1,0,0,6490,60.0,2018,SkodaCitigo
