mileage,make,model,fuel,gear,offerType,price,hp,year,make_model
224000,Ford,S-Max,0,0,0,6390,116.0,2013,FordS-Max
100000,Volkswagen,Polo,0,0,0,6463,75.0,2013,VolkswagenPolo
42000,Volkswagen,up!,1,0,0,5999,75.0,2014,Volkswagenup!
90000,Volkswagen,up!,1,0,0,6100,75.0,2014,Volkswagenup!
51000,Opel,Corsa,1,0,0,6199,86.0,2014,OpelCorsa
80300,Opel,Corsa,1,0,0,6199,101.0,2014,OpelCorsa
37800,Renault,Twingo,1,1,0,6280,75.0,2014,RenaultTwingo
75500,Skoda,Citigo,1,0,0,6280,60.0,2014,SkodaCitigo
79579,Volkswagen,up!,1,0,0,6290,75.0,2014,Volkswagenup!
110000,Renault,Megane,0,0,0,6350,110.0,2014,RenaultMegane
30000,Skoda,Citigo,1,0,0,6400,75.0,2014,SkodaCitigo
74990,Opel,Corsa,1,0,0,6440,87.0,2014,OpelCorsa
108500,Skoda,Citigo,1,0,0,6490,75.0,2015,SkodaCitigo
26553,Skoda,Citigo,1,0,0,6570,60.0,2015,SkodaCitigo
64000,Volkswagen,up!,1,0,0,6650,60.0,2015,Volkswagenup!
123750,Opel,Adam,1,0,0,6700,150.0,2015,OpelAdam
71000,Opel,Corsa,1,0,0,6800,90.0,2015,OpelCorsa
131000,Volkswagen,Passat Variant,0,0,0,6850,140.0,2015,VolkswagenPassat Variant
65794,Skoda,Fabia,1,0,0,6890,60.0,2015,SkodaFabia
129900,Opel,Astra,0,0,0,6950,110.0,2015,OpelAstra
30000,Opel,Karl,1,0,0,6980,75.0,2015,OpelKarl
288500,Skoda,Octavia,0,0,0,6980,110.0,2015,SkodaOctavia
63550,Renault,Megane,1,0,0,6990,110.0,2015,RenaultMegane
92900,Volkswagen,Polo,1,0,0,6990,60.0,2015,VolkswagenPolo
60899,Volkswagen,Polo,1,0,0,6990,60.0,2015,VolkswagenPolo
239999,Volkswagen,Golf,0,0,0,6999,110.0,2015,VolkswagenGolf
49500,Opel,Karl,1,0,0,5490,75.0,2016,OpelKarl
86000,Volkswagen,up!,1,0,0,5700,60.0,2016,Volkswagenup!
40301,Volkswagen,up!,1,0,0,5980,60.0,2016,Volkswagenup!
58352,Volkswagen,up!,1,0,0,6195,60.0,2016,Volkswagenup!
42000,Skoda,Citigo,1,0,0,6250,60.0,2016,SkodaCitigo
49999,Volkswagen,up!,1,0,0,6320,60.0,2016,Volkswagenup!
120000,Skoda,Fabia,1,0,0,6390,75.0,2016,SkodaFabia
64500,Volkswagen,up!,1,0,1,6489,60.0,2016,Volkswagenup!
69500,Volkswagen,up!,1,0,1,6489,60.0,2016,Volkswagenup!
69500,Volkswagen,up!,1,0,1,6489,60.0,2016,Volkswagenup!
59535,Volkswagen,up!,1,0,0,6490,60.0,2016,Volkswagenup!
78000,Ford,Fiesta,1,0,0,6500,80.0,2016,FordFiesta
12750,Ford,B-Max,1,0,0,12450,90.0,2017,FordB-Max
44500,Ford,Fiesta,1,0,0,12950,101.0,2017,FordFiesta
93360,Opel,Zafira,0,0,0,12980,120.0,2017,OpelZafira
138000,Renault,Megane,0,1,0,12990,163.0,2017,RenaultMegane
80000,Opel,Astra,0,0,0,13380,136.0,2017,OpelAstra
100559,Volkswagen,Golf,0,1,0,13750,150.0,2017,VolkswagenGolf
42100,Opel,Astra,1,0,0,13900,105.0,2017,OpelAstra
92680,Ford,Focus,0,1,0,14390,150.0,2017,FordFocus
97760,Opel,Zafira,0,1,0,14870,131.0,2017,OpelZafira
76100,Opel,Astra,0,0,0,14900,110.0,2017,OpelAstra
104000,Opel,Astra,0,0,0,12900,160.0,2018,OpelAstra
